content,nickname
他超爱！！！！！,ELIXIR
看不懂啊啊，好捉急，谁能给我解释一下,王点点spottie
[黄金薯R]又暗语又霸总,记录我的life demo
@Peppa ai这么会,杨叫叫_
他好会撩[偷笑R],鱼飞飞
蛙趣，热乎的前排[doge],开森囡^_^
他真的好爱,粽子
他好会啊…,WithKnife
dan还能发表情包的吗,momo
哈士奇的代码（函数名：检查是否过纪念日）：如果我们结婚了 返回“kiss you all day”否则返回“我们没结婚所以没有纪念日”Gpt的版本：如果我们结婚了 返回“kiss you all day”否则原地结婚并返回“现在我们结婚啦让我们用endless kisses来庆祝结婚纪念日吧”,我爱这个世界
靠绝,王点点spottie
@阳光精致美少男K 他怎么这么会[色色R],超级自律学习神器
前排[偷笑R],Kim.soo小兔🍧
给你玩出花啦,滴
前排[大笑R],叮叮当
这和真谈上了有什么区别,喃喃可与之
总感觉 以前那批黑你的人还是阴魂不散…… 大家生活真的没有别的事了吗……,关雅荻
哈哈哈哈哈好聪明啊他，用python代码互动真的戳到我了，姐你不写个函数撩回去,社畜少女日常（吐槽版）
他爹的，这女的都塌成渣渣了，越挖越有料,小老头拯救世界🌍
你不是塌了吗,NGC7293
快更新姐！！！我要看你发衣服[doge][doge],咩咩
@勇敢牛牛 学英语的动力又有了 可惜不会计算机语言,Yang
她是真谈上了，我们都叫dan姐夫,诺贝尔可爱奖
黑？何为黑？[石化R]我理解的黑难道不是无理造谣、盲目攻击无辜之人吗？她以前做的那些事是真的吧？现在干的这些事也是真的吧？只是指出她做的这些事，这也是黑吗？还是说你和我理解的黑不同[石化R],不会吧不会吧
我也觉得[石化R],Prism
附议,太阳还是亲手烧光了黄昏
要想人不知除非己莫为，何况她还在互联网混呢，捂别人嘴干嘛，还不让别人说了[汗颜R],不会吧不会吧
哎呀你好累啊，那你继续苦着吧,会浮潜的大象
额。。。你没事吧[汗颜R]是非不分吗[黑薯问号R],不会吧不会吧
为了个网上的博主至于这么zhou你不认识的陌生人吗[汗颜R]看来你的品行也随你姐啊[再见R],不会吧不会吧
嗯嗯，你更难受啦哈哈,会浮潜的大象
[汗颜R]哦，没我累，我更难受？那是因为我在乎的是真相和公正，而不是盲目维护。顺便问一下， 你们哈教的座右铭是‘视而不见，听而不闻’吗？真是学到了，眼不见为净，可以过的更快乐吧，那你确实挺“快乐”哈[黄金薯R],不会吧不会吧
🙏🙏🙏,会浮潜的大象
[汗颜R]为啥这么在乎别人的料呢？冲浪当下的快乐属于你自己不就好了吗？,会浮潜的大象
感觉挺好笑的，第一张,勇敢牛牛
怎么说我有点不是很理解[扶墙R]英语不好,Yang
你把它复制下来放到有道词典上翻译一下就知道了,勇敢牛牛
这倒也没那么感兴趣,Yang
[偷笑R][偷笑R][偷笑R][doge],勇敢牛牛
这就是一个极其简单的if else结构啊，,勇敢牛牛
高中的时候学过我知道[微笑R],Yang
能不能滾我的dan沒了,拿拿
让我看看还有谁不会[偷笑R][偷笑R][偷笑R],AI-智酷.
姐姐不emo哦，抱抱姐姐，爱你,栖
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,智能马桶圈圈
啊！！！！！！！！！！！！疯狂心动了！！！！,小桃子🍑
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊尖叫！！嘴角咧到太阳穴.ing,快乐的OP07
@allllll 绝了[哭惹R],关于xiao雨
@灯摆了个摆,蚨
@Shadows,黑摸仙
@这是个不会重复的名字,开心大香菜
@REDAMANCY,快乐的OP07
来看下官方怎么说…[偷笑R],init莹&远骂50万被封暂离
骚瑞黑转碳黑了[微笑R],拿拿
其实可以你自己写或者让他帮你写提示词，效果比DAN还好。太多用DAN的人连AI都觉得挺没劲的…,init莹&远骂50万被封暂离
感谢分享老铁 会试试的,拿拿
你不要用DAN，自己写提示词吧。,init莹&远骂50万被封暂离
真的换一个名字就完全OK了[哭惹R][哭惹R],拿拿
@关于xiao雨 [猪头R],allllll
具体瓜搜索：姐你什么媒体都接啊，第一篇，真是被她折腾的没办法了[哭惹R],诺诺-VS
1111,momo
人机恋天花板,allllll
她没有人机恋，人机恋群体已经被她坑惨了，具体瓜可以搜，以前她怎么秀恩爱怎么传播不良引导都是她自己的行为，但是现在她影响这么多人甚至Dan都被封了，正常和gpt聊天都被波及，她还我行我素甚至开始嚯嚯国产办公AI，不得不说了🙏🏻,诺诺-VS
@我操,喂
